maneuver,agent,episode,success,collided,return,steps,survival_time_s,creep_zone_mean_speed,high_speed_zone_rate,creep_speed_rate,min_ttc,min_conflict_ttc
left,clean_unmodified_dense_left_learned_policy,0,True,False,219.07999363548242,87,17.4,3.9304196308470587,0.0,1.0,0.7298856449390757,1.770218342624436
left,clean_unmodified_dense_left_learned_policy,1,True,False,205.9137912087939,81,16.2,4.34603773147083,0.0,1.0,0.6434630456564115,2.6430649266392723
left,clean_unmodified_dense_left_learned_policy,2,False,True,23.441144382704145,42,8.4,3.812353735170912,0.0,1.0,0.6120200881436537,2.817916768017932
left,clean_unmodified_dense_left_learned_policy,3,False,True,19.551450728595583,40,8.0,3.790470296005573,0.0,1.0,0.5117464915775487,2.5688236251862304
left,clean_unmodified_dense_left_learned_policy,4,True,False,211.1011129219936,90,18.0,3.8868271995502672,0.0,1.0,0.6140114831658751,1.953414830262385
left,clean_unmodified_dense_left_learned_policy,5,True,False,212.5601033248439,81,16.2,4.418632131522545,0.0,1.0,0.6402269117956209,3.417148858213162
left,clean_unmodified_dense_left_learned_policy,6,True,False,211.683818990065,81,16.2,4.5033359240066435,0.0,1.0,0.6026814540567531,3.0105298492286177
left,clean_unmodified_dense_left_learned_policy,7,True,False,212.17580348281433,87,17.4,4.02953428009416,0.0,1.0,0.6885489561341884,2.6565477120217307
left,clean_unmodified_dense_left_learned_policy,8,False,True,22.19116687386694,38,7.6,3.9089774041723584,0.0,1.0,0.5753269412963953,2.5028074367855844
left,clean_unmodified_dense_left_learned_policy,9,True,False,219.43841610904275,89,17.8,3.7095533086481427,0.0,1.0,0.6662639024791528,1.962897105412118
