epoch,bc_loss,bc_action_accuracy,samples
1,0.30491089040324804,0.8958760414804731,20529
2,0.25719508102961947,0.918629282996768,20529
3,0.24510315663757778,0.9223865327380952,20529
4,0.2532025043453489,0.9212941867964608,20529
5,0.24619539011092412,0.921568458988553,20529
6,0.24149285469736373,0.9248606818062919,20529
7,0.25165022412935895,0.9186577541487557,20529
8,0.24835643385137832,0.920368872937702,20529
9,0.23624420733678908,0.9282088960920062,20529
10,0.23420957014674232,0.9275626000903902,20529
11,0.22551973767223812,0.9299712635221935,20529
12,0.22336206194900332,0.9298317545936221,20529
13,0.23483065409319742,0.9248796616281781,20529
14,0.23879393083708628,0.9243538947332472,20529
15,0.22405816188880376,0.9298782575698126,20529
16,0.2200331198317664,0.9316131018456959,20529
17,0.21081733526218505,0.9347145670936221,20529
18,0.21508977242878505,0.9335102353777204,20529
19,0.2179286763781593,0.9271858306158156,20529
20,0.21194780653431303,0.9329939569745745,20529
21,0.21380217515286945,0.9296552340189616,20529
22,0.20500314767871583,0.9355051176888602,20529
23,0.2103046150434585,0.9280741328284854,20529
24,0.20103808208590462,0.9339657738095238,20529
25,0.20246900972865878,0.9330129367964608,20529
26,0.19367900774592445,0.936486425853911,20529
27,0.18925249647526515,0.9392766044253394,20529
28,0.19510117386068618,0.9344450405665806,20529
29,0.20344890512171246,0.9304600187710353,20529
30,0.18951555944624401,0.9355146090189616,20529
31,0.18215734192303248,0.9392348471141997,20529
32,0.17718696949027835,0.9402579125903902,20529
33,0.17717612925029935,0.9392348471141997,20529
34,0.17506206603277297,0.9396951312110537,20529
35,0.1748098312389283,0.9391418411618188,20529
36,0.1708546660485722,0.939137095496768,20529
37,0.16431828694684164,0.9442894345238095,20529
38,0.19632711864653088,0.9275768342472258,20529
39,0.18391836895829156,0.9330081911314101,20529
40,0.16385990363501368,0.9426153273809523,20529
41,0.15991757597242082,0.9436943871634347,20529
42,0.16621501105172293,0.9385278111412412,20529
43,0.15855956503323146,0.9434153693062919,20529
44,0.156658037787392,0.9424482952980768,20529
45,0.1805680568019549,0.934254282996768,20529
46,0.16111294570423307,0.9402256437710353,20529
47,0.19319059806210653,0.9258932357742673,20529
48,0.16483808628150395,0.9387280572028387,20529
49,0.15930566901252383,0.9415647387504578,20529
50,0.17368805763267336,0.9340360022726513,20529
51,0.17057388949961888,0.9353751000903902,20529
52,0.16534243843385152,0.943322363353911,20529
53,0.1472719001273314,0.9447079613095238,20529
54,0.1592189712183816,0.9418437566076007,20529
55,0.15033555314654395,0.944112913949149,20529
