epoch,bc_loss,bc_action_accuracy,samples
1,0.2990898152192434,0.8991394599278768,14749
2,0.19722803433736166,0.9298186540603638,14749
3,0.1657344549894333,0.9376596848169962,14749
4,0.1566839059193929,0.9438106894493103,14749
5,0.14871763785680134,0.9426183223724365,14749
6,0.14235019932190576,0.9484277248382569,14749
7,0.14291544109582902,0.9468732674916586,14749
8,0.13869741012652714,0.947388740380605,14749
9,0.13410223027070364,0.9520111362139384,14749
10,0.13120352178812028,0.9516802549362182,14749
11,0.13324820200602214,0.9499848683675131,14749
12,0.1301487798492114,0.9488576014836629,14749
13,0.12373079707225164,0.9533551494280498,14749
14,0.12353715697924296,0.9548159758249919,14749
15,0.11839459637800852,0.9526987473169962,14749
16,0.11858542164166769,0.9566647450129191,14749
17,0.1229890078306198,0.9513493736584981,14749
18,0.11543167978525162,0.9574745257695516,14749
19,0.11257159809271494,0.9579017241795857,14749
20,0.11416542132695516,0.957643985748291,14749
21,0.11359922736883163,0.9583859841028849,14749
22,0.11502177218596141,0.9571855783462524,14749
23,0.1087536171078682,0.9605005304018657,14749
24,0.11133040189743042,0.9592011253039042,14749
25,0.10809208502372106,0.9594873944918315,14749
26,0.10610005855560303,0.9603988528251648,14749
27,0.10166440854469935,0.9648571491241456,14749
28,0.09919129262367885,0.9642685333887736,14749
29,0.1003298044204712,0.9633000095685323,14749
30,0.09582901895046234,0.966781743367513,14749
31,0.09807031154632569,0.9642738898595175,14749
32,0.09430168370405832,0.9649044394493103,14749
33,0.0898758461078008,0.9689613898595174,14749
34,0.09072529375553132,0.9670475165049235,14749
35,0.09433195292949677,0.9648678700129191,14749
36,0.09487652083237966,0.9647376616795857,14749
37,0.09434751917918523,0.9633597532908121,14749
38,0.09063350955645243,0.9661877632141114,14749
39,0.0878358873228232,0.9662716269493103,14749
40,0.09170726239681244,0.9648625095685323,14749
41,0.0886190394560496,0.963794990380605,14749
42,0.08408602227767309,0.9702607949574789,14749
43,0.07884426862001419,0.9706487417221069,14749
44,0.08042004406452179,0.9698701699574789,14749
45,0.08394674907128016,0.9654172341028849,14749
