maneuver,agent,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_survival_time_s,mean_time_to_collision_s,mean_creep_zone_speed,high_speed_zone_rate,creep_speed_rate,mean_min_ttc,mean_min_conflict_ttc,mean_action_change_rate,mean_ego_speed,ego_stop_rate,mean_ego_stopped_time_s,mean_ego_delay_proxy_s,mean_traffic_vehicle_seconds,mean_traffic_speed,traffic_stop_rate,mean_traffic_delay_proxy_s,mean_system_delay_proxy_s,slower_action_rate,idle_action_rate,faster_action_rate,safety_shield,mean_safety_intervention_rate,mean_safety_emergency_brake_rate,mean_safety_violation_rate,mean_safety_min_h,mean_safety_neighbor_rate,condition,initial_vehicle_count,spawn_probability,duration,negotiating_traffic,surrounding_vehicle_control,mean_success_arrival_time_s,mean_success_system_delay_proxy_s,success_per_system_delay,safe_creeping_efficiency_index
straight,efficiency_straight_fast_non_creeping,100,0.76,0.24,0.0,93.7568963317537,8.277999999999999,5.166666666666667,8.990978863837963,1.0,0.0,0.7250107853504271,1.5093694750000017,0.02600952421641622,9.055740529817271,0.0,0.0,0.000279503882854213,61.13400000000001,7.568441961620255,0.001360591871017404,5.2784168150560955,5.27869631893895,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle,9.260526315789473,6.260218862549499,0.14397491541582927,0.06636161939930134
straight,efficiency_straight_learned_creeping,100,0.82,0.18,0.0,191.55923236544223,15.242000000000003,8.811111111111112,4.105036043543198,0.014252124876589348,0.9804841030100445,0.7200665215928838,2.423565913816965,0.2556741068774234,4.980357470697381,0.0,0.0,5.878324334278323,162.076,7.1228916522342045,0.012550749878827108,21.842257696620692,27.720582030899017,0.14606328891622694,0.7715841855171541,0.082352525566619,False,0.0,0.0,0.0,,0.0,learned_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle,16.653658536585365,31.266587177941208,0.029580907410424195,0.3418293692562386
left,efficiency_left_fast_non_creeping,100,0.58,0.42,0.0,70.93624277343935,7.298000000000001,5.176190476190476,8.896891062094657,0.99,0.0,0.640420397364536,1.5492806071840826,0.03890857207014551,9.057478355635578,0.0,0.0,0.00015987661185847799,54.52,7.4988371795374675,0.0025993187293015378,5.426580218245029,5.426740094856887,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle,8.83448275862069,7.3874812718650595,0.10687814101720944,0.03873984781558633
left,efficiency_left_learned_creeping,100,0.68,0.32,0.0,151.479937421523,14.168,8.5125,3.9606766029849565,0.010773001508295623,0.9788386123680242,0.7570453640347402,2.5402213420703377,0.23363017831752037,4.842716591885178,0.0,0.0,5.79583042468833,152.324,7.184764407930245,0.011672223194780496,19.535552106205827,25.331382530894167,0.15054309765679816,0.780983584846111,0.06847331749709079,False,0.0,0.0,0.0,,0.0,learned_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle,16.829411764705885,31.202514037878686,0.02684417134858314,0.24529587221965182
