epoch,bc_loss,bc_action_accuracy,samples
1,0.23632397984757142,0.920617583919974,16961
2,0.1654459518544814,0.9376916499698863,16961
3,0.14586146701784694,0.9445275874698863,16961
4,0.1364582400111591,0.9466198928215924,16961
5,0.13093445975990856,0.9492178524241728,16961
6,0.12792818861849167,0.9495568485820994,16961
7,0.12639938294887543,0.9503667494829964,16961
8,0.12232689603286631,0.9523069332627689,16961
9,0.12012667033602209,0.9517454259535846,16961
10,0.11636826527469299,0.9552091430215275,16961
11,0.11399939349469017,0.9541549261878518,16961
12,0.11309734381297055,0.9558685141451219,16961
13,0.1131794776986627,0.955931635463939,16961
14,0.10445695282781825,0.9598047312568215,16961
15,0.10862771684632581,0.9567431281594669,16961
16,0.10138721764087677,0.9614131871391746,16961
17,0.10037056970245697,0.9617335656109978,16961
18,0.10445339714779574,0.9595506611992332,16961
19,0.11236352385843501,0.9561945655766655,16961
20,0.10766839060713262,0.9593969408203574,16961
21,0.09396766345290576,0.9650006539681378,16961
22,0.09401354456649107,0.966673822963939,16961
23,0.08766736177837148,0.9682507164338056,16961
24,0.08801867199294708,0.9696407423299902,16961
25,0.09166601869989843,0.9656956651631523,16961
26,0.09954297454918132,0.9632959260660059,16961
27,0.08440334174562902,0.9692127459189471,16961
28,0.08289880787625033,0.9701504812521093,16961
29,0.08056947895709206,0.9694198264795191,16961
30,0.08158099213067223,0.9686253526631523,16961
31,0.0800522614051314,0.9706933673690347,16961
32,0.08132561383878484,0.9695946469026453,16961
33,0.09011523096876986,0.9647822239819694,16961
34,0.07754180229762021,0.9699207018403446,16961
35,0.07335693608312045,0.9728058857076308,16961
36,0.07027446259470548,0.9728431210798376,16961
37,0.07133708565550692,0.9740065511535195,16961
38,0.07249346024849836,0.9736230548690347,16961
39,0.07895880543133792,0.9689441393403446,16961
40,0.07938692236647886,0.9689125769278583,16961
41,0.06769865904660786,0.9726982642622555,16961
42,0.08269322115708799,0.9658623267622555,16961
43,0.06784662648158915,0.9734620697358075,16961
44,0.06735467779285767,0.9712791653240428,16961
45,0.07330796692301245,0.9693850804777706,16961
46,0.0800690984024721,0.9660273930605721,16961
47,0.06914086486486827,0.9721739923252779,16961
48,0.064524567740805,0.9745794078883003,16961
49,0.06061784309499404,0.9748868416337406,16961
50,0.06140413420165286,0.9747776283937342,16961
