maneuver,agent,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_survival_time_s,mean_time_to_collision_s,mean_creep_zone_speed,high_speed_zone_rate,creep_speed_rate,mean_min_ttc,mean_min_conflict_ttc,mean_action_change_rate,mean_ego_speed,ego_stop_rate,mean_ego_stopped_time_s,mean_ego_delay_proxy_s,mean_traffic_vehicle_seconds,mean_traffic_speed,traffic_stop_rate,mean_traffic_delay_proxy_s,mean_system_delay_proxy_s,slower_action_rate,idle_action_rate,faster_action_rate,safety_shield,mean_safety_intervention_rate,mean_safety_emergency_brake_rate,mean_safety_progress_assist_rate,mean_safety_violation_rate,mean_safety_min_h,mean_safety_neighbor_rate,policy_family,model_path,initial_vehicle_count,spawn_probability,duration,negotiating_traffic,surrounding_vehicle_control,timesteps,trained_this_run,train_or_load_wall_time_s
straight,shielded_interaction_v3_straight_5000,20,0.65,0.15,0.2,38.83985120888291,12.929999999999998,6.933333333333334,5.309650857123712,0.7153525123763005,0.10422526726131973,0.7080953553007416,1.4533839815510345,0.24258131517144038,6.177714089150755,0.12784692195037023,2.73,4.632444763428118,182.42000000000002,6.738680080184395,0.04060425074636468,44.76175474066718,49.3941995040953,0.030023800158918222,0.5489165699941637,0.42105962984691797,True,0.2422734715482661,0.07453144305818588,0.0,0.1319389839879591,-2.1237242009599546,0.8889594250725239,trained_safety_interaction_v3,notebooks\results\intersectionRouteAttentionCreeping\models\straight_ppo_attention_safety12_05_interaction_v3_5000.zip,12,0.5,22,False,unmodified_highway_env_IDMVehicle,5000,True,147.38267302513123
left,shielded_interaction_v3_left_5000,20,0.2,0.15,0.65,-72.51291010319223,19.469999999999995,9.133333333333333,1.7130801897570336,0.01004201680672269,0.4685449747229108,0.9218377250847837,2.988194549919401,0.20247824955361887,2.6910792395318555,0.3981309506672787,8.57,13.809081000765602,315.84999999999997,6.245017174540792,0.07244720666701635,82.23198200971564,96.04106301048125,0.07836064772844996,0.3662668232758676,0.5553725289956823,True,0.4912623395176907,0.07182214382003346,0.0,0.3542624526848223,-4.306143878902948,0.9569681330175751,trained_safety_interaction_v3,notebooks\results\intersectionRouteAttentionCreeping\models\left_ppo_attention_safety12_05_interaction_v3_5000.zip,12,0.5,22,False,unmodified_highway_env_IDMVehicle,5000,True,150.89223551750183
