maneuver,episode,seed,forced_ego_zero_speed,crashed_after_one_step,terminated,truncated,initial_dist_center,initial_speed,post_step_dist_center,post_step_ego_speed,conflict_ttc,initial_vehicle_count,spawn_probability,duration,negotiating_traffic
straight,50,150050,True,False,False,False,46.547183990478516,10.0,46.547183990478516,0.0,inf,6,0.35,22,False
straight,51,150051,True,False,False,False,48.165184020996094,10.0,48.165184020996094,0.0,inf,6,0.35,22,False
straight,52,150052,True,False,False,False,42.05080032348633,10.0,42.05080032348633,0.0,inf,6,0.35,22,False
straight,53,150053,True,False,False,False,39.57986068725586,10.0,39.57986068725586,0.0,inf,6,0.35,22,False
straight,54,150054,True,False,False,False,43.0574836730957,10.0,43.0574836730957,0.0,inf,6,0.35,22,False
straight,55,150055,True,False,False,False,50.53510665893555,10.0,50.53510665893555,0.0,inf,6,0.35,22,False
straight,56,150056,True,False,False,False,46.73348617553711,10.0,46.73348617553711,0.0,inf,6,0.35,22,False
straight,57,150057,True,False,False,False,39.15457534790039,10.0,39.15457534790039,0.0,inf,6,0.35,22,False
straight,58,150058,True,False,False,False,50.75783920288086,10.0,50.75783920288086,0.0,inf,6,0.35,22,False
straight,59,150059,True,False,False,False,42.87895584106445,10.0,42.87895584106445,0.0,inf,6,0.35,22,False
straight,60,150060,True,False,False,False,48.36701202392578,10.0,48.36701202392578,0.0,inf,6,0.35,22,False
straight,61,150061,True,False,False,False,39.49374008178711,10.0,39.49374008178711,0.0,inf,6,0.35,22,False
straight,62,150062,True,False,False,False,48.68796920776367,10.0,48.68796920776367,0.0,inf,6,0.35,22,False
straight,63,150063,True,False,False,False,42.844635009765625,10.0,42.844635009765625,0.0,inf,6,0.35,22,False
straight,64,150064,True,False,False,False,39.305294036865234,10.0,39.305294036865234,0.0,inf,6,0.35,22,False
straight,65,150065,True,False,False,False,49.21869659423828,10.0,49.21869659423828,0.0,inf,6,0.35,22,False
straight,66,150066,True,False,False,False,52.86186599731445,10.0,52.86186599731445,0.0,inf,6,0.35,22,False
straight,67,150067,True,False,False,False,52.23344421386719,10.0,52.23344421386719,0.0,inf,6,0.35,22,False
straight,68,150068,True,False,False,False,49.5704460144043,10.0,49.5704460144043,0.0,inf,6,0.35,22,False
straight,69,150069,True,False,False,False,41.38951873779297,10.0,41.38951873779297,0.0,inf,6,0.35,22,False
straight,70,150070,True,False,False,False,48.650474548339844,10.0,48.650474548339844,0.0,inf,6,0.35,22,False
straight,71,150071,True,False,False,False,43.739620208740234,10.0,43.739620208740234,0.0,inf,6,0.35,22,False
straight,72,150072,True,False,False,False,50.90489196777344,10.0,50.90489196777344,0.0,inf,6,0.35,22,False
straight,73,150073,True,False,False,False,50.390316009521484,10.0,50.390316009521484,0.0,inf,6,0.35,22,False
straight,74,150074,True,False,False,False,38.95670700073242,10.0,38.95670700073242,0.0,inf,6,0.35,22,False
straight,75,150075,True,False,False,False,36.4825439453125,10.0,36.4825439453125,0.0,inf,6,0.35,22,False
straight,76,150076,True,False,False,False,49.885704040527344,10.0,49.885704040527344,0.0,inf,6,0.35,22,False
straight,77,150077,True,False,False,False,48.45151901245117,10.0,48.45151901245117,0.0,inf,6,0.35,22,False
straight,78,150078,True,False,False,False,48.25550842285156,10.0,48.25550842285156,0.0,inf,6,0.35,22,False
straight,79,150079,True,False,False,False,44.40215301513672,10.0,44.40215301513672,0.0,inf,6,0.35,22,False
straight,80,150080,True,False,False,False,47.6056022644043,10.0,47.6056022644043,0.0,inf,6,0.35,22,False
straight,81,150081,True,False,False,False,40.258113861083984,10.0,40.258113861083984,0.0,inf,6,0.35,22,False
straight,82,150082,True,False,False,False,51.421356201171875,10.0,51.421356201171875,0.0,inf,6,0.35,22,False
straight,83,150083,True,False,False,False,50.191261291503906,10.0,50.191261291503906,0.0,inf,6,0.35,22,False
straight,84,150084,True,False,False,False,46.64630889892578,10.0,46.64630889892578,0.0,inf,6,0.35,22,False
straight,85,150085,True,False,False,False,52.69486618041992,10.0,52.69486618041992,0.0,inf,6,0.35,22,False
straight,86,150086,True,False,False,False,44.587989807128906,10.0,44.587989807128906,0.0,inf,6,0.35,22,False
straight,87,150087,True,False,False,False,42.45578384399414,10.0,42.45578384399414,0.0,inf,6,0.35,22,False
straight,88,150088,True,False,False,False,45.07387161254883,10.0,45.07387161254883,0.0,inf,6,0.35,22,False
straight,89,150089,True,False,False,False,43.16343307495117,10.0,43.16343307495117,0.0,inf,6,0.35,22,False
straight,90,150090,True,False,False,False,49.67296600341797,10.0,49.67296600341797,0.0,inf,6,0.35,22,False
straight,91,150091,True,False,False,False,41.65827560424805,10.0,41.65827560424805,0.0,inf,6,0.35,22,False
straight,92,150092,True,False,False,False,40.15909957885742,10.0,40.15909957885742,0.0,inf,6,0.35,22,False
straight,93,150093,True,False,False,False,40.974449157714844,10.0,40.974449157714844,0.0,inf,6,0.35,22,False
straight,94,150094,True,False,False,False,44.12388610839844,10.0,44.12388610839844,0.0,inf,6,0.35,22,False
straight,95,150095,True,False,False,False,40.722103118896484,10.0,40.722103118896484,0.0,inf,6,0.35,22,False
straight,96,150096,True,False,False,False,45.04600143432617,10.0,45.04600143432617,0.0,inf,6,0.35,22,False
straight,97,150097,True,False,False,False,42.863006591796875,10.0,42.863006591796875,0.0,inf,6,0.35,22,False
straight,98,150098,True,False,False,False,44.833412170410156,10.0,44.833412170410156,0.0,inf,6,0.35,22,False
straight,99,150099,True,False,False,False,38.25827407836914,10.0,38.25827407836914,0.0,inf,6,0.35,22,False
left,0,151000,True,False,False,False,50.02863693237305,10.0,50.02863693237305,0.0,inf,6,0.35,22,False
left,1,151001,True,False,False,False,36.99332046508789,10.0,36.99332046508789,0.0,inf,6,0.35,22,False
left,2,151002,True,False,False,False,49.128074645996094,10.0,49.128074645996094,0.0,inf,6,0.35,22,False
left,3,151003,True,False,False,False,56.079898834228516,10.0,56.079898834228516,0.0,inf,6,0.35,22,False
left,4,151004,True,False,False,False,56.95176696777344,10.0,56.95176696777344,0.0,inf,6,0.35,22,False
left,5,151005,True,False,False,False,46.3187141418457,10.0,46.3187141418457,0.0,inf,6,0.35,22,False
