margin,conflict_radius,horizon,decel,success_mean,collision_mean,timeout_mean,straight,left,intervention,ebrake
0.15,18.0,3.0,7.0,0.7666666666666666,0.16666666666666669,0.06666666666666667,0.8,0.7333333333333333,0.13571493176802513,0.03712131655162792
0.15,14.0,2.5,7.0,0.6333333333333333,0.30000000000000004,0.06666666666666667,0.6666666666666666,0.6,0.15767510018004693,0.03210649529259974
0.1,14.0,2.0,5.0,0.6,0.13333333333333333,0.26666666666666666,0.6,0.6,0.19527230265548828,0.03692342894282652
0.2,18.0,3.0,9.0,0.5333333333333333,0.13333333333333333,0.3333333333333333,0.6666666666666666,0.4,0.27448352110632235,0.039805126200021024
