maneuver,agent,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_survival_time_s,mean_time_to_collision_s,mean_creep_zone_speed,high_speed_zone_rate,creep_speed_rate,mean_min_ttc,mean_min_conflict_ttc,mean_action_change_rate,slower_action_rate,idle_action_rate,faster_action_rate,model_path
straight,dense_straight_learned_attention_bc,100,0.65,0.35,0.0,155.4596157734466,13.802,8.662857142857142,3.938859808866905,0.0153503765091962,0.959374684870284,0.775855365159509,2.3442170115826837,0.2909217925265148,0.1796675230543981,0.7273107719111158,0.093021705034486,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\intersectionRouteAttentionCreeping\models\straight_ppo_attention_bc_creeping_calibrated_v2.zip
left,dense_left_learned_attention_bc,100,0.69,0.31,0.0,153.2816381969814,14.392,8.974193548387097,3.9468247611029033,0.0148333333333333,0.9751666666666666,0.7028037127618129,2.5018946323539795,0.2364235666223356,0.1554380115686632,0.7729244672133135,0.071637521218023,
