epoch,bc_loss,bc_action_accuracy,samples
1,0.30278780145777595,0.90911579463217,17605
2,0.16311812649170557,0.9330421255694495,17605
3,0.12656442862417963,0.9526378214359283,17605
4,0.11683109237088098,0.9575206339359283,17605
5,0.11158178995052974,0.9587577217155032,17605
6,0.10942379012703896,0.9593867328431871,17605
7,0.10380632885628277,0.9613291157616509,17605
8,0.10035977181461123,0.9619694186581506,17605
9,0.09320305287837982,0.9645510017871857,17605
10,0.09261434897780418,0.9643345375855764,17605
11,0.09168091871672207,0.964681539270613,17605
12,0.09523333609104156,0.9630759689542983,17605
13,0.09184864639408058,0.9654625687334273,17605
14,0.08253069387541877,0.9668731590112051,17605
15,0.08328537684347895,0.9684142900837792,17605
16,0.08391203607122104,0.966472456852595,17605
17,0.08015958488815361,0.968815545241038,17605
18,0.08186945070823033,0.9692823456393348,17605
19,0.07527588887347116,0.969824880361557,17605
20,0.08194977334804004,0.9668635229269663,17605
21,0.08668916755252415,0.9644860062334273,17605
22,0.0747639536857605,0.9699441260761685,17605
23,0.07307133740848964,0.9730043543709649,17605
24,0.07386076615916358,0.971420814593633,17605
25,0.07476294930610392,0.9721470375855764,17605
26,0.06726639303896162,0.9736446539560953,17605
27,0.06946650540663137,0.9737853838337792,17605
28,0.06535735333131419,0.9753259619077047,17605
29,0.06681961152288649,0.973698357741038,17605
30,0.06235640972024865,0.9768993126021491,17605
31,0.0655647727350394,0.9731236000855764,17605
32,0.06342783425417212,0.9754672414726682,17605
33,0.059709733352065086,0.9771270652612051,17605
34,0.06347430559496085,0.9746856590112051,17605
35,0.07226783699459499,0.9696948925654093,17605
36,0.06385550337533157,0.9734270903799269,17605
37,0.05696913744840357,0.9779408673445383,17605
38,0.06015432046519385,0.9763132631778717,17605
39,0.057754768058657646,0.976139763991038,17605
40,0.053410254418849945,0.9799917605188158,17605
41,0.05345306545495987,0.9795142180389829,17605
42,0.054434693728884063,0.9784076677428352,17605
43,0.052410997450351715,0.9789179828431871,17605
44,0.05384447673956553,0.979329976770613,17605
45,0.059969972612129316,0.9752717084354825,17605
46,0.05017177822689215,0.9812068177594079,17605
47,0.05083321014212237,0.9798397388723161,17605
48,0.050857261651092105,0.9801652597056495,17605
49,0.05415463447570801,0.9785596893893348,17605
50,0.05174781692524751,0.9789502024650574,17605
