maneuver,agent,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_survival_time_s,mean_time_to_collision_s,mean_creep_zone_speed,high_speed_zone_rate,creep_speed_rate,mean_min_ttc,mean_min_conflict_ttc,mean_action_change_rate,mean_ego_speed,ego_stop_rate,mean_ego_stopped_time_s,mean_ego_delay_proxy_s,mean_traffic_vehicle_seconds,mean_traffic_speed,traffic_stop_rate,mean_traffic_delay_proxy_s,mean_system_delay_proxy_s,slower_action_rate,idle_action_rate,faster_action_rate,safety_shield,mean_safety_intervention_rate,mean_safety_emergency_brake_rate,mean_safety_violation_rate,mean_safety_min_h,mean_safety_neighbor_rate,condition,initial_vehicle_count,spawn_probability,duration,negotiating_traffic,surrounding_vehicle_control
left,efficiency_left_fast_seed_132087,1,1.0,0.0,0.0,119.91395558784694,9.0,,9.0010375420016,1.0,0.0,0.471045782621751,3.4613035505576355,0.0222222222222222,9.052432149141568,0.0,0.0,0.0,70.0,7.679298385803111,0.0,4.313895883330848,4.313895883330848,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_seed_132088,1,0.0,1.0,0.0,6.491547591527329,5.2,5.2,9.001048465188138,1.0,0.0,0.3562711369086292,0.8412074088124855,0.0384615384615384,9.090738673332416,0.0,0.0,0.0,30.0,7.916710818869548,0.0,2.2471433746423117,2.2471433746423117,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_seed_132089,1,1.0,0.0,0.0,120.5159713215658,9.0,,9.000994398554793,1.0,0.0,0.4620773935451212,1.6437709448152569,0.0222222222222222,9.052432149141568,0.0,0.0,0.0,51.2,7.936056940443938,0.0,2.046058300976258,2.046058300976258,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_seed_132090,1,1.0,0.0,0.0,120.31541206310482,9.0,,9.0010375420016,1.0,0.0,0.4812792273549351,1.0146486331788098,0.0222222222222222,9.052432149141568,0.0,0.0,0.0,64.8,7.732735722010484,0.0,3.42027173555826,3.42027173555826,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_seed_132091,1,0.0,1.0,0.0,1.8950398363307457,5.2,5.2,8.931791964105338,1.0,0.0,0.4805763555275562,1.7449015865057802,0.0384615384615384,9.046123692226534,0.0,0.0,0.0039971788780766,19.2,8.343404889711897,0.0,0.5785468080568494,0.582543986934926,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_seed_132092,1,1.0,0.0,0.0,107.91942503495932,7.6,,9.012308599993888,1.0,0.0,2.8325487066202504,4.468047641828004,0.0263157894736842,9.062090619101648,0.0,0.0,0.0,34.0,7.90708807898389,0.0,1.6572075331608942,1.6572075331608942,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_seed_132093,1,1.0,0.0,0.0,126.84105819487463,9.8,,9.000241952556392,1.0,0.0,0.4427830859891298,1.3549749348367222,0.0204081632653061,9.048151978229772,0.0,0.0,0.0,91.8,7.399624971392715,0.0,8.962785827639447,8.962785827639447,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_seed_132094,1,1.0,0.0,0.0,127.51379019045724,9.8,,9.00025245002463,1.0,0.0,0.4776309636989432,3.915482965222834,0.0204081632653061,9.048151978229772,0.0,0.0,0.0,72.8,7.119140340230255,0.0,9.615005343178192,9.615005343178192,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_seed_132095,1,1.0,0.0,0.0,121.55312136043068,9.2,,9.000728698909215,1.0,0.0,0.5066045967854909,1.2722823921904023,0.0217391304347826,9.051292321709957,0.0,0.0,0.0,74.4,6.814694083729251,0.0188172043010752,11.20482200700468,11.20482200700468,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_seed_132096,1,1.0,0.0,0.0,116.27579829968928,8.6,,9.002103394923676,1.0,0.0,1.3244367847764855,1.5853564653893215,0.0232558139534883,9.054870846747244,0.0,0.0,0.0,81.0,7.133265237438871,0.0,10.112508261911485,10.112508261911485,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_seed_132097,1,1.0,0.0,0.0,121.82203927863594,9.2,,9.000728698909215,1.0,0.0,0.5309352920424527,1.204432313223014,0.0217391304347826,9.051292321709957,0.0,0.0,0.0,71.6,7.673571726460104,0.0,5.664774838946171,5.664774838946171,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_seed_132098,1,1.0,0.0,0.0,120.42336382339688,9.0,,9.0010375420016,1.0,0.0,1.3123723995602996,0.9402870387731216,0.0222222222222222,9.052432149141568,0.0,0.0,0.0,91.6,6.999610880380388,0.0087336244541484,12.995595262780004,12.995595262780004,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_seed_132099,1,1.0,0.0,0.0,118.6727851643088,8.8,,9.001477281482746,1.0,0.0,0.467196186338933,2.4113578018722657,0.0227272727272727,9.053623786070188,0.0,0.0,0.0,58.2,7.956401112173545,0.0,5.4555402529600565,5.4555402529600565,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
