maneuver,seed,forced_zero_steps,collided_after_forced_zero,arrived_after_forced_zero,ego_found,initial_ego_speed,ego_speed_after_step,ego_distance_from_center,vehicle_count_after_reset,min_ttc_seen,min_conflict_ttc_seen,initial_vehicle_count,spawn_probability,duration,negotiating_traffic,surrounding_vehicle_control,episode
straight,150036,3,False,False,True,10.0,0.0,49.58775394082306,8,3.6220752626594637,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,36
straight,150037,3,False,False,True,10.0,0.0,50.73961461252372,7,12.392498429756616,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,37
straight,150038,3,False,False,True,10.0,0.0,48.971221221167134,6,10.999426289737245,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,38
straight,150039,3,False,False,True,10.0,0.0,36.62541482621568,7,7.333379997000612,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,39
straight,150040,3,False,False,True,10.0,0.0,46.18152532803204,7,12.050206704496883,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,40
straight,150041,3,False,False,True,10.0,0.0,45.677481615927015,9,7.542019386105299,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,41
straight,150042,3,False,False,True,10.0,0.0,40.33578378930384,8,7.865800339679986,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,42
straight,150043,3,False,False,True,10.0,0.0,39.92054540235719,8,6.272245697368749,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,43
straight,150044,3,False,False,True,10.0,0.0,43.089089190194656,7,4.849038661844341,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,44
straight,150045,3,False,False,True,10.0,0.0,44.34911554715099,9,3.084480255548293,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,45
straight,150046,3,False,False,True,10.0,0.0,53.62306939066718,6,3.4387376107931473,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,46
