maneuver,agent,episode,return,steps,survival_time_s,collided,collision_count,success,timeout,time_to_collision_s,min_ttc,min_conflict_ttc,creep_zone_mean_speed,high_speed_zone_rate,creep_speed_rate,conflict_steps,mean_action_change_rate,slower_action_rate,idle_action_rate,faster_action_rate
left,left_creeping_suited_dense_bc_v2,0,232.79490862610282,83,16.6,False,0,True,False,,4.254356015758261,inf,4.362330515502581,0.0,1.0,30,0.1686746987951807,0.0963855421686747,0.8674698795180723,0.03614457831325301
left,left_creeping_suited_dense_bc_v2,1,223.26211477098235,81,16.2,False,0,True,False,,4.812173722756818,inf,4.340966208669189,0.0,1.0,31,0.18518518518518517,0.08641975308641975,0.8641975308641975,0.04938271604938271
left,left_creeping_suited_dense_bc_v2,2,229.13398190163167,84,16.8,False,0,True,False,,5.186709929005499,46.36427834677089,4.34267403452995,0.0,1.0,31,0.16666666666666666,0.09523809523809523,0.8690476190476191,0.03571428571428571
left,left_creeping_suited_dense_bc_v2,3,208.47316681433517,76,15.2,False,0,True,False,,5.696625636576293,inf,4.385525518823103,0.0425531914893617,0.9574468085106383,31,0.18421052631578946,0.09210526315789473,0.868421052631579,0.039473684210526314
left,left_creeping_suited_dense_bc_v2,4,226.13793058702478,82,16.4,False,0,True,False,,5.441026578280847,inf,4.341181887166193,0.0,1.0,31,0.18292682926829268,0.08536585365853659,0.8658536585365854,0.04878048780487805
left,left_creeping_suited_dense_bc_v2,5,232.3230416722408,83,16.6,False,0,True,False,,2.761706934551899,inf,4.3257507274113625,0.0,1.0,31,0.1686746987951807,0.0963855421686747,0.8674698795180723,0.03614457831325301
left,left_creeping_suited_dense_bc_v2,6,-30.94757264322137,16,3.2,True,1,False,False,3.2,1.0532936633100154,inf,0.0,0.0,0.0,0,0.375,0.3125,0.625,0.0625
left,left_creeping_suited_dense_bc_v2,7,211.50020323906426,77,15.4,False,0,True,False,,3.168358859867045,inf,4.387910391465668,0.041666666666666664,0.9583333333333334,31,0.18181818181818182,0.09090909090909091,0.8701298701298701,0.03896103896103896
left,left_creeping_suited_dense_bc_v2,8,212.4606332088396,78,15.6,False,0,True,False,,1.7463613819404376,5.137472762696778,4.351111535544104,0.020833333333333332,0.9791666666666666,31,0.1794871794871795,0.08974358974358974,0.8717948717948718,0.038461538461538464
left,left_creeping_suited_dense_bc_v2,9,218.88463024414318,80,16.0,False,0,True,False,,1.57811579652071,inf,4.360323972845326,0.020833333333333332,0.9791666666666666,31,0.2,0.1,0.85,0.05
left,left_creeping_suited_dense_bc_v2,10,205.31069947170437,75,15.0,False,0,True,False,,1.912752219871386,inf,4.360539186564476,0.020833333333333332,0.9791666666666666,31,0.18666666666666668,0.10666666666666667,0.8533333333333334,0.04
left,left_creeping_suited_dense_bc_v2,11,232.49217165082894,83,16.6,False,0,True,False,,4.856043739230772,inf,4.377834056198473,0.0,1.0,31,0.1686746987951807,0.0963855421686747,0.8674698795180723,0.03614457831325301
