epoch,bc_loss,bc_action_accuracy,samples
1,0.9317374953201839,0.750285838331495,13987
2,0.6572595919881549,0.801778895514352,13987
3,0.6338173619338444,0.8017067611217499,13987
4,0.6278683458055768,0.8019231557846069,13987
5,0.6215332448482513,0.8018510256494794,13987
6,0.6119049532072884,0.8012018416609082,13987
7,0.5973476937838963,0.8012739760535104,13987
8,0.5831038100378854,0.8018870907170432,13987
9,0.5714673016752515,0.8014543013913291,13987
10,0.557207486459187,0.8015625008514949,13987
11,0.5399808883666992,0.8013821712562016,13987
12,0.5190730052334922,0.8020194683756147,13987
13,0.4993311656372888,0.8236908912658691,13987
14,0.48600887400763376,0.838948518037796,13987
15,0.47112744620868136,0.8504718499524253,13987
16,0.46525734663009644,0.8495024187224252,13987
17,0.45376254618167877,0.8604538696152824,13987
18,0.444375074335507,0.8654040609087262,13987
19,0.4364193081855774,0.8689853038106646,13987
20,0.4334042178733008,0.867015540599823,13987
21,0.42385937699249815,0.8713066322462899,13987
22,0.41735767253807615,0.8733774593898228,13987
23,0.4205669164657593,0.8688989111355373,13987
24,0.41004193254879545,0.874989356313433,13987
25,0.40212795776980265,0.8757998517581395,13987
26,0.3943431164537157,0.8774042044367109,13987
27,0.3872299151761191,0.8798456106867109,13987
28,0.38013836315699984,0.8822870169367109,13987
29,0.3668876162597111,0.8884686061314174,13987
30,0.35216248461178373,0.8947992111955371,13987
31,0.34377596208027433,0.8940513389451163,13987
32,0.33557094846452984,0.8912417335169656,13987
33,0.3278929144144058,0.8958526594298226,13987
34,0.3087278200047357,0.8997494024889809,13987
35,0.3047140964439937,0.8980511128902435,13987
36,0.2910257024424417,0.90619295835495,13987
37,0.2860175392457417,0.9105561758790698,13987
38,0.2827381268143654,0.9075135375772204,13987
39,0.2765525398509843,0.9107127359935215,13987
40,0.27066516663346973,0.9120812671525138,13987
