epoch,bc_loss,bc_action_accuracy,samples
1,0.34387037456035613,0.9134254018465678,14873
2,0.20599422256151836,0.9301252841949463,14873
3,0.16220801075299582,0.9407538731892904,14873
4,0.13814949095249177,0.9500500718752544,14873
5,0.13159833898146947,0.9545377731323242,14873
6,0.12963954458634058,0.9521985093752543,14873
7,0.12460615386565527,0.9537807703018188,14873
8,0.11923377563556035,0.9560291051864624,14873
9,0.11455273528893789,0.9567391912142436,14873
10,0.11001969575881958,0.9583712816238403,14873
11,0.10628750423590343,0.9585439205169678,14873
12,0.10417774220307668,0.9604909857114156,14873
13,0.09935022741556168,0.9609224677085877,14873
14,0.09656163801749547,0.9609633247057597,14873
15,0.09455694854259492,0.9627983649571736,14873
16,0.09335587769746781,0.9631723801294962,14873
17,0.09028836985429128,0.9646394650141398,14873
18,0.085976675649484,0.9648408412933349,14873
19,0.08563148180643718,0.9649710496266682,14873
20,0.08848497420549392,0.9641837358474732,14873
21,0.09169630904992422,0.9622669816017151,14873
22,0.08397691746552785,0.9656281510988871,14873
23,0.07757130463918051,0.9676645676294963,14873
24,0.08854940533638,0.962578805287679,14873
25,0.09189250320196152,0.9616491595904032,14873
26,0.07920172785719236,0.9680596788724264,14873
27,0.07474330539504687,0.9690665483474732,14873
28,0.0725744478404522,0.969841738541921,14873
29,0.07254035000999769,0.9706714828809102,14873
30,0.06918182050188383,0.9725700497627259,14873
31,0.06590005606412888,0.9750969886779786,14873
32,0.06398485427101454,0.9757646401723226,14873
33,0.0659949724872907,0.9744398872057597,14873
34,0.06463569303353628,0.974883492787679,14873
35,0.06389131049315135,0.9750258247057597,14873
36,0.06425902371605237,0.9750152746836345,14873
37,0.06070995852351189,0.976327908039093,14873
38,0.0592151736219724,0.9777783830960591,14873
39,0.05845203151305516,0.9784990151723226,14873
40,0.05779577294985453,0.9775466998418172,14873
41,0.05842150549093882,0.9764868497848511,14873
42,0.05487879787882169,0.978789742787679,14873
43,0.053189706057310104,0.9793393095334371,14873
44,0.051667483150959016,0.9804521401723226,14873
45,0.04946052804589272,0.9806777636210123,14873
