maneuver,agent,episode,return,steps,survival_time_s,collided,collision_count,success,timeout,time_to_collision_s,min_ttc,min_conflict_ttc,creep_zone_mean_speed,high_speed_zone_rate,creep_speed_rate,conflict_steps,mean_action_change_rate,slower_action_rate,idle_action_rate,faster_action_rate
left,left_creeping_suited_dense_bc_v2,0,-31.46535943830223,15,3.0,True,1,False,False,3.0,1.184710838072285,inf,0.0,0.0,0.0,0,0.4,0.3333333333333333,0.6,0.06666666666666667
left,left_creeping_suited_dense_bc_v2,1,212.88472796259856,78,15.6,False,0,True,False,,4.954530464268212,inf,4.356110163094075,0.02127659574468085,0.9787234042553191,31,0.1794871794871795,0.08974358974358974,0.8717948717948718,0.038461538461538464
left,left_creeping_suited_dense_bc_v2,2,-62.0187670609731,1,0.2,True,1,False,False,0.2,0.5476985354677502,inf,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0
left,left_creeping_suited_dense_bc_v2,3,223.8823740106394,81,16.2,False,0,True,False,,2.949028294465485,inf,4.368880260252966,0.0,1.0,31,0.1728395061728395,0.08641975308641975,0.8765432098765432,0.037037037037037035
left,left_creeping_suited_dense_bc_v2,4,221.12117396272276,80,16.0,False,0,True,False,,1.412806346787694,inf,4.368660088456765,0.0,1.0,31,0.175,0.0875,0.875,0.0375
left,left_creeping_suited_dense_bc_v2,5,212.08674455461346,78,15.6,False,0,True,False,,5.647809143772874,inf,4.351111535544104,0.020833333333333332,0.9791666666666666,31,0.1794871794871795,0.08974358974358974,0.8717948717948718,0.038461538461538464
left,left_creeping_suited_dense_bc_v2,6,217.5103602495758,80,16.0,False,0,True,False,,4.55498123304306,inf,4.339247716549203,0.0,1.0,31,0.1875,0.0875,0.8625,0.05
left,left_creeping_suited_dense_bc_v2,7,200.79940829182408,72,14.4,False,0,True,False,,1.6758464826000863,inf,4.322496336980202,0.0,1.0,31,0.1388888888888889,0.1111111111111111,0.8611111111111112,0.027777777777777776
left,left_creeping_suited_dense_bc_v2,8,232.4435374798211,84,16.8,False,0,True,False,,1.2570517400391719,10.060388503174977,4.314119690431714,0.0,1.0,31,0.16666666666666666,0.09523809523809523,0.8690476190476191,0.03571428571428571
left,left_creeping_suited_dense_bc_v2,9,231.16392225435845,84,16.8,False,0,True,False,,5.80822615308447,inf,4.346612079242731,0.0,1.0,31,0.16666666666666666,0.09523809523809523,0.8690476190476191,0.03571428571428571
