maneuver,seed,forced_zero_steps,collided_after_forced_zero,arrived_after_forced_zero,ego_found,initial_ego_speed,ego_speed_after_step,ego_distance_from_center,vehicle_count_after_reset,min_ttc_seen,min_conflict_ttc_seen,initial_vehicle_count,spawn_probability,duration,negotiating_traffic,surrounding_vehicle_control,episode
straight,91006,1,True,False,True,10.0,0.0,50.28593360822328,2,inf,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,6
left,101000,1,True,False,True,10.0,0.0,42.811872653640066,3,0.6070037609177472,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,0
left,101057,1,True,False,True,10.0,0.0,42.96302716887749,5,0.60895662147507,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,57
