maneuver,seed,forced_zero_steps,collided_after_forced_zero,arrived_after_forced_zero,ego_found,initial_ego_speed,ego_speed_after_step,ego_distance_from_center,vehicle_count_after_reset,min_ttc_seen,min_conflict_ttc_seen,initial_vehicle_count,spawn_probability,duration,negotiating_traffic,surrounding_vehicle_control,episode
straight,91000,1,False,False,True,10.0,0.0,49.397263418158545,5,13.98198555479311,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,0
straight,91001,1,False,False,True,10.0,0.0,42.787279390201036,3,inf,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,1
straight,91002,1,False,False,True,10.0,0.0,47.585976707347115,4,12.99082126200062,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,2
straight,91003,1,False,False,True,10.0,0.0,53.44286897208428,5,14.40239545963043,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,3
straight,91004,1,False,False,True,10.0,0.0,43.32057523681895,5,10.388264856229197,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,4
straight,91005,1,False,False,True,10.0,0.0,50.14234484438398,3,6.431831286086275,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,5
straight,91006,1,True,False,True,10.0,0.0,50.28593360822328,2,inf,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,6
straight,91007,1,False,False,True,10.0,0.0,57.4692974716248,3,inf,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,7
straight,91008,1,False,False,True,10.0,0.0,36.37977045548847,6,6.416752932181511,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,8
straight,91009,1,False,False,True,10.0,0.0,44.28414314997105,3,7.313750038038179,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,9
straight,91010,1,False,False,True,10.0,0.0,47.39248991322149,5,11.34084481204758,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,10
straight,91011,1,False,False,True,10.0,0.0,44.03432499892779,6,14.095944637560425,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,11
straight,91012,1,False,False,True,10.0,0.0,47.109916468503165,5,5.516518323527924,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,12
straight,91013,1,False,False,True,10.0,0.0,46.88985461403932,3,4.149613130550701,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,13
straight,91014,1,False,False,True,10.0,0.0,40.52647693559984,4,inf,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,14
straight,91015,1,False,False,True,10.0,0.0,43.21602474388166,6,10.780878526491747,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,15
straight,91016,1,False,False,True,10.0,0.0,51.703531905797625,7,4.823943981070206,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,16
straight,91017,1,False,False,True,10.0,0.0,44.695338814705,5,inf,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,17
straight,91018,1,False,False,True,10.0,0.0,41.77387887999561,5,6.974066805690467,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,18
straight,91019,1,False,False,True,10.0,0.0,41.605337326238214,5,10.914397973164654,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,19
straight,91020,1,False,False,True,10.0,0.0,45.164709439157264,3,inf,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,20
straight,91021,1,False,False,True,10.0,0.0,42.72994370193213,4,10.261337514748762,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,21
straight,91022,1,False,False,True,10.0,0.0,39.018483712195106,5,6.237625410346014,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,22
straight,91023,1,False,False,True,10.0,0.0,44.3763563297803,3,12.004704948335984,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,23
straight,91024,1,False,False,True,10.0,0.0,36.22270794435518,3,10.598020635237694,inf,6,0.35,22,False,unmodified_highway_env_IDMVehicle,24
