maneuver,agent,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_survival_time_s,mean_time_to_collision_s,mean_creep_zone_speed,high_speed_zone_rate,creep_speed_rate,mean_min_ttc,mean_min_conflict_ttc,mean_action_change_rate,slower_action_rate,idle_action_rate,faster_action_rate
straight,scripted_fast,20,0.85,0.15,0.0,103.33164850306824,8.52,5.599999999999999,8.997220431459047,1.0,0.0,0.8859824505209808,1.7067620943835888,0.02422431785677912,0.0,0.0,1.0
straight,scripted_hold_speed,20,0.85,0.15,0.0,103.33164850306824,8.52,5.599999999999999,8.997220431459047,1.0,0.0,0.8859824505209808,1.7067620943835888,0.0,0.0,1.0,0.0
straight,scripted_reward_creeping,20,0.9,0.1,0.0,206.14395316210516,14.969999999999999,8.100000000000001,4.45205726944605,0.14526369582352058,0.7913456472718929,0.8439487804265753,2.4644185855943874,0.24165713129825522,0.12827793017242747,0.78147883390702,0.0902432359205524
