maneuver,agent,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_survival_time_s,mean_time_to_collision_s,mean_creep_zone_speed,high_speed_zone_rate,creep_speed_rate,mean_min_ttc,mean_min_conflict_ttc,mean_action_change_rate,slower_action_rate,idle_action_rate,faster_action_rate
straight,non_creeping_fast,150,0.76,0.24,0.0,93.03985058743658,8.202666666666667,5.366666666666667,8.990684858683297,1.0,0.0,1.164472934280682,1.3914351404167173,0.025722675051105714,0.0,0.0,1.0
straight,learned_attention_bc_creeping_v2,150,0.94,0.06,0.0,213.7933181832676,15.97066666666667,9.88888888888889,4.23708806141375,0.013480538841471136,0.9801837523488003,1.0022592222339914,2.6816134962157405,0.2260146660823485,0.1158304060336575,0.8174677489380238,0.06670184502831883
left,non_creeping_fast,150,0.6733333333333333,0.32666666666666666,0.0,81.62630127300976,7.653333333333335,5.404081632653061,8.989211300771222,1.0,0.0,1.052341979999605,1.5289023709911682,0.027588997843639457,0.0,0.0,1.0
left,learned_attention_bc_creeping_v2,150,0.9266666666666666,0.07333333333333333,0.0,200.03263524189026,15.968000000000002,8.527272727272727,4.279521848467744,0.009384615384615384,0.9904871794871796,0.9480817016503682,2.7003116655374977,0.13843774381525525,0.08953214115041194,0.8711986867311471,0.039269172118440956
