epoch,bc_loss,bc_action_accuracy,samples
1,1.0041245434965407,0.5258091517857143,13344
2,0.7147145441600254,0.7958984375,13344
3,0.6116644846541541,0.8067103794642857,13344
4,0.5890530752284187,0.8002232142857143,13344
5,0.5778671928814479,0.8023856026785714,13344
6,0.5954867814268384,0.7894112723214286,13344
7,0.5667321767125811,0.7982700892857143,13344
8,0.5650296211242676,0.8090122767857143,13344
9,0.5550192594528198,0.8104073660714286,13344
10,0.5385090346847262,0.8205217633928571,13344
11,0.5148836629731315,0.8269391741071429,13344
12,0.49090005670275005,0.8414481026785714,13344
13,0.5148072753633771,0.8331473214285714,13344
14,0.4754345566034317,0.8468889508928571,13344
15,0.45777224536452976,0.8543526785714286,13344
16,0.47520540016038076,0.8382393973214286,13344
17,0.4538322410413197,0.8492606026785714,13344
18,0.4502261323588235,0.8475864955357143,13344
19,0.43926558111395153,0.8480747767857143,13344
20,0.4348545287336622,0.8434709821428571,13344
21,0.4098066900457655,0.8493303571428571,13344
22,0.37961046184812275,0.8622349330357143,13344
23,0.391546260033335,0.8523995535714286,13344
24,0.3674240708351135,0.8664202008928571,13344
25,0.35004352246012005,0.8649553571428571,13344
26,0.349261645759855,0.8639787946428571,13344
27,0.3345042381967817,0.86376953125,13344
28,0.31789505907467436,0.8744419642857143,13344
29,0.3157064744404384,0.8773018973214286,13344
30,0.325453336749758,0.87109375,13344
31,0.3149469367095402,0.8703264508928571,13344
32,0.291952731353896,0.8826729910714286,13344
33,0.3086811453104019,0.8753487723214286,13344
34,0.2839685763631548,0.8839983258928571,13344
35,0.27306053681033,0.89208984375,13344
36,0.2839591833097594,0.8892996651785714,13344
37,0.2741975784301758,0.8890904017857143,13344
38,0.2753297207610948,0.8895089285714286,13344
39,0.27445500450474875,0.8881138392857143,13344
40,0.30497823655605316,0.8727678571428571,13344
