maneuver,episodes,forced_zero_collision_rate,forced_zero_collisions,mean_initial_ego_speed,mean_vehicle_count_after_reset,initial_vehicle_count,spawn_probability,duration,forced_zero_steps,negotiating_traffic,surrounding_vehicle_control
left,100,0.02,2,10.0,4.58,6,0.35,22,1,False,unmodified_highway_env_IDMVehicle
straight,100,0.01,1,10.0,4.33,6,0.35,22,1,False,unmodified_highway_env_IDMVehicle
