epoch,bc_loss,bc_action_accuracy,samples
1,0.37411744821639287,0.861190778868539,20824
2,0.27459850623494103,0.8926657239596049,20824
3,0.24899642595223018,0.907627786908831,20824
4,0.23714677634693326,0.9091266961324782,20824
5,0.2252939279590334,0.9114875339326405,20824
6,0.21989657907258897,0.912614419346764,20824
7,0.21548111594858624,0.9136320778301784,20824
8,0.20633575462159656,0.916510936759767,20824
9,0.20210357790901548,0.9169759665216718,20824
10,0.19415093887419926,0.9218057876541501,20824
11,0.19272936880588531,0.921256403128306,20824
12,0.18785459087008521,0.9232116909254164,20824
13,0.18686129507564364,0.9225985010464987,20824
14,0.18280453057516188,0.9251550833384196,20824
15,0.17862958993230546,0.9238540814036414,20824
16,0.17231843230270205,0.9308771122069586,20824
17,0.17355076613880338,0.92813127381461,20824
18,0.17568151156107584,0.9273450488135928,20824
19,0.1646499325122152,0.9333774560973758,20824
20,0.17177472511927286,0.9282307681583223,20824
21,0.1590939788591294,0.9350645428612119,20824
22,0.16087234375022708,0.9346957632473537,20824
23,0.15636206169923147,0.9361351927121481,20824
24,0.1607966245639892,0.9334758690425328,20824
25,0.1586588571468989,0.9343659168197995,20824
26,0.1485418485743659,0.9420789196377709,20824
27,0.14665674843958446,0.9411986101241339,20824
28,0.14385480398223513,0.944312143893469,20824
29,0.14245585245745523,0.9441304604212443,20824
30,0.13908675242038,0.9467302986553737,20824
31,0.1466593990723292,0.9403626379512605,20824
32,0.13898746208066032,0.9455233869098482,20824
33,0.1350151818423044,0.9480258935973758,20824
34,0.1323590346035503,0.9496556605611529,20824
35,0.13095429433243616,0.9489527089255196,20824
36,0.12943040153809957,0.9522609086263747,20824
37,0.12808764548528762,0.9511880959783282,20824
38,0.13146112327064788,0.9478388002940586,20824
39,0.12326208324659438,0.9538917569887071,20824
40,0.13287704650844848,0.94695740654355,20824
41,0.11983544202077956,0.9556945590745836,20824
42,0.12052644398950395,0.9550013400259472,20824
43,0.11624969932295028,0.9581602982112339,20824
44,0.1185885848743575,0.9550954273768834,20824
45,0.1155692668897765,0.9570453081812177,20824
46,0.11203625407956895,0.9595034775279817,20824
47,0.1114214076882317,0.9587302321479434,20824
48,0.11558659090882256,0.9573286516325814,20824
49,0.11129398218223027,0.9583993014835176,20824
50,0.10786256619862147,0.9613170935994103,20824
51,0.106388739886738,0.9624504702431815,20824
52,0.11051069519349507,0.9583084583282471,20824
53,0.10407029056832903,0.9639796586263747,20824
54,0.10225992117609296,0.9641148419607253,20824
55,0.10240348251093001,0.961232738835471,20824
