maneuver,agent,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_survival_time_s,mean_time_to_collision_s,mean_creep_zone_speed,high_speed_zone_rate,creep_speed_rate,mean_min_ttc,mean_min_conflict_ttc,mean_action_change_rate,slower_action_rate,idle_action_rate,faster_action_rate,model_path,initial_vehicle_count,spawn_probability,duration,negotiating_traffic,surrounding_vehicle_control
straight,clean_unmodified_dense_straight_learned_policy,100,0.77,0.23,0.0,179.45567372737864,14.792,9.104347826086954,4.060919699854804,0.014946859697798067,0.9796798241269399,0.7073185404316018,2.3432713519165635,0.27956414258515944,0.1552620908295574,0.7546599901677427,0.09007791900269986,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\intersectionRouteAttentionCreeping\models\straight_ppo_attention_bc_creeping_calibrated_v2.zip,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,clean_unmodified_dense_left_learned_policy,100,0.76,0.24,0.0,168.09872573908913,14.846000000000002,8.85,4.0722137875014,0.008484848484848486,0.9913110698824985,0.6885769881481875,2.6208352241976054,0.20108001454164057,0.12881770986094393,0.811614887059786,0.05956740307926991,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\intersectionRouteAttentionCreeping\models\left_ppo_attention_bc_creeping_calibrated_v2.zip,6,0.35,22,False,unmodified_highway_env_IDMVehicle
