maneuver,agent,episode,return,steps,survival_time_s,collided,collision_count,success,timeout,time_to_collision_s,min_ttc,min_conflict_ttc,creep_zone_mean_speed,high_speed_zone_rate,creep_speed_rate,conflict_steps,mean_action_change_rate,slower_action_rate,idle_action_rate,faster_action_rate
left,left_creeping_suited_dense_bc_v2,0,232.31198862129463,83,16.6,False,0,True,False,,1.5209346560690686,inf,4.3257507274113625,0.0,1.0,31,0.1686746987951807,0.0963855421686747,0.8674698795180723,0.03614457831325301
left,left_creeping_suited_dense_bc_v2,1,217.3524978241431,79,15.8,False,0,True,False,,1.6567287075168546,inf,4.337339522196032,0.0,1.0,30,0.189873417721519,0.08860759493670886,0.8607594936708861,0.05063291139240506
left,left_creeping_suited_dense_bc_v2,2,223.2263934648763,81,16.2,False,0,True,False,,5.448394114906226,7.735100777367501,4.368880260252966,0.0,1.0,31,0.1728395061728395,0.08641975308641975,0.8765432098765432,0.037037037037037035
left,left_creeping_suited_dense_bc_v2,3,-26.825344772221115,16,3.2,True,1,False,False,3.2,1.0142229826761169,inf,0.0,0.0,0.0,0,0.375,0.3125,0.625,0.0625
left,left_creeping_suited_dense_bc_v2,4,204.2320627080245,75,15.0,False,0,True,False,,3.8857101964976866,inf,4.339462930268356,0.0,1.0,31,0.17333333333333334,0.09333333333333334,0.8666666666666667,0.04
left,left_creeping_suited_dense_bc_v2,5,207.96297021225115,76,15.2,False,0,True,False,,1.5314554773604123,inf,4.376617843661172,0.041666666666666664,0.9583333333333334,31,0.18421052631578946,0.10526315789473684,0.8552631578947368,0.039473684210526314
left,left_creeping_suited_dense_bc_v2,6,227.89599425789606,82,16.4,False,0,True,False,,5.676758436526935,inf,4.338027814477512,0.0,1.0,31,0.18292682926829268,0.08536585365853659,0.8658536585365854,0.04878048780487805
left,left_creeping_suited_dense_bc_v2,7,211.4551779763828,77,15.4,False,0,True,False,,5.309919193510664,8.994033817078295,4.387910391465668,0.041666666666666664,0.9583333333333334,31,0.18181818181818182,0.09090909090909091,0.8701298701298701,0.03896103896103896
left,left_creeping_suited_dense_bc_v2,8,231.7056617356966,84,16.8,False,0,True,False,,1.533711462300659,inf,4.365564451056617,0.0,1.0,31,0.17857142857142858,0.09523809523809523,0.8571428571428571,0.047619047619047616
left,left_creeping_suited_dense_bc_v2,9,210.36974627634285,77,15.4,False,0,True,False,,1.909931066760006,8.37158445089566,4.387910391465668,0.041666666666666664,0.9583333333333334,31,0.18181818181818182,0.09090909090909091,0.8701298701298701,0.03896103896103896
left,left_creeping_suited_dense_bc_v2,10,215.86652060305207,79,15.8,False,0,True,False,,3.249193592402111,9.444912260213302,4.376533236277328,0.041666666666666664,0.9583333333333334,31,0.189873417721519,0.10126582278481013,0.8481012658227848,0.05063291139240506
left,left_creeping_suited_dense_bc_v2,11,211.43832753670154,77,15.4,False,0,True,False,,2.3381038040017104,inf,4.387910391465668,0.041666666666666664,0.9583333333333334,31,0.18181818181818182,0.09090909090909091,0.8701298701298701,0.03896103896103896
left,left_creeping_suited_dense_bc_v2,12,-36.5735253896773,15,3.0,True,1,False,False,3.0,0.8075308961238948,inf,0.0,0.0,0.0,0,0.4,0.2,0.7333333333333333,0.06666666666666667
