maneuver,agent,episode,success,collided,return,steps,survival_time_s,creep_zone_mean_speed,high_speed_zone_rate,creep_speed_rate,min_ttc,min_conflict_ttc,safety_shield,safety_intervention_rate,safety_emergency_brake_rate,safety_violation_rate,safety_min_h
left,final_balanced_safety_ellipse_left,0,True,False,203.16636060362322,78,15.6,4.348386969081067,0.0,1.0,0.578232469376726,2.810323398082681,True,0.0,0.0,0.0,0.5099074896940117
left,final_balanced_safety_ellipse_left,1,True,False,216.08199322968906,81,16.2,4.357064645633192,0.0,1.0,0.6235357708063691,3.3830308071017963,True,0.0,0.0,0.0,0.28973183796713764
left,final_balanced_safety_ellipse_left,2,False,True,-15.33719819134756,75,15.0,1.6493256829980893,0.0,0.6111111111111112,0.7553130544448631,2.7225627479695165,True,0.4266666666666667,0.09333333333333334,0.25333333333333335,-4.754552434213859
left,final_balanced_safety_ellipse_left,3,False,True,-14.165694018711513,45,9.0,2.400997765634851,0.0,0.7142857142857143,0.597721456662613,2.817749144215223,True,0.2222222222222222,0.06666666666666667,0.08888888888888889,-0.6945157682435354
left,final_balanced_safety_ellipse_left,4,True,False,199.4194973246359,78,15.6,4.298149701083916,0.0,1.0,0.6247920338424832,2.7711802787770115,True,0.0,0.0,0.0,0.4625983328863823
left,final_balanced_safety_ellipse_left,5,False,True,-26.47849052040214,67,13.4,1.8647789744887782,0.0,0.5869565217391305,0.6285189221100398,2.7305002066565836,True,0.29850746268656714,0.1044776119402985,0.22388059701492538,-3.919683017243079
left,final_balanced_safety_ellipse_left,6,True,False,205.7606414013116,80,16.0,4.363959277066491,0.0,1.0,0.5157458004818599,2.9071762488083106,True,0.0,0.0,0.0,0.05107208223173387
left,final_balanced_safety_ellipse_left,7,False,False,-69.8010670057298,111,22.2,0.9537800137450195,0.0,0.28865979381443296,0.7059795344639848,2.6296453359991245,True,0.6396396396396397,0.05405405405405406,0.5675675675675675,-2.948574750631689
left,final_balanced_safety_ellipse_left,8,False,False,-24.136387954413724,111,22.2,1.544021485375067,0.0,0.42857142857142855,0.5791567620322531,2.6788787840685635,True,0.5315315315315315,0.05405405405405406,0.4774774774774775,-4.8439295132114655
left,final_balanced_safety_ellipse_left,9,True,False,208.30511400527865,77,15.4,4.519911709522693,0.0,1.0,0.6373686382977742,3.758725570493958,True,0.0,0.0,0.0,0.5672976133065988
