agent,episodes,success_rate,collision_rate,average_collisions,mean_time_to_collision_s,median_time_to_collision_s,mean_survival_time_s,mean_return,mean_creep_zone_speed,high_speed_zone_rate,creep_speed_rate,mean_abs_throttle,mean_abs_delta_throttle,mean_min_ttc
PPO_standard_features_fast,100,0.75,0.25,0.25,5.104,5.2,7.164000000000001,54.930139642240604,10.46707190944736,0.99,0.0,0.3845744574668343,0.024686951174864365,0.7471084497241375
PPO_creeping_learned_negotiation,100,0.66,0.34,0.34,8.064705882352941,7.6,12.710000000000003,57.433672420936794,3.7387978602716654,0.21843369026119666,0.6764086289536826,0.34473806474752144,0.1001607145329106,0.7604761904145292
scripted_non_creeping_fast,100,0.74,0.26,0.26,5.2846153846153845,5.300000000000001,7.408,54.19542081190454,10.085855728586132,0.99,0.0,0.3499999940395355,0.013214321851972095,0.7395044590687944
scripted_creeping,100,0.09,0.41,0.41,11.146341463414632,11.6,16.464000000000002,39.99414095911866,2.2089514224534654,0.0,0.9658634263368979,0.31011492942462804,0.061273184074503426,0.8191529338145653
zero_residual_creeping_prior,100,0.67,0.33,0.33,8.115151515151515,8.2,13.966,69.32580065998744,3.158603671002583,0.0988710411489098,0.858718412257867,0.3365861665081391,0.0875744371468635,0.7522313998672532
