maneuver,agent,episode,success,collided,return,steps,survival_time_s,creep_zone_mean_speed,high_speed_zone_rate,creep_speed_rate,min_ttc,min_conflict_ttc
left,l_dense,0,True,False,222.37975600352127,94,18.8,3.6387190592903806,0.0,1.0,0.5988357638880305,1.5857358060503282
left,l_dense,1,True,False,215.614501010014,90,18.0,3.787659474734919,0.0,1.0,0.5939235655576074,1.5839399013728257
left,l_dense,2,True,False,215.5495748027007,86,17.2,4.015614367965023,0.0,1.0,0.6862288474296356,2.2362182998310165
left,l_dense,3,True,False,213.63082317221352,84,16.8,4.021821150115664,0.0,1.0,0.6128797190136611,2.0496527699544274
left,l_dense,4,False,True,34.343929217367105,54,10.8,3.4033643544158765,0.0,1.0,0.6060445752172104,2.030417119442843
left,l_dense,5,True,False,226.0942413977977,92,18.4,3.825134979692075,0.0,1.0,0.6487351316886565,2.0125920156621655
left,l_dense,6,False,True,1.3552753131656914,32,6.4,4.046708902076326,0.0,1.0,1.1744943506296512,2.8206117353944777
left,l_dense,7,True,False,215.1577527053152,80,16.0,4.513634710112202,0.0,1.0,0.5789387883760442,2.9111902081237058
left,l_dense,8,False,True,-5.392805580387652,31,6.2,3.5876419830259323,0.0,1.0,0.4747239712941692,2.6443520574837818
left,l_dense,9,True,False,216.06484427222597,81,16.2,4.3571526306227,0.0,1.0,0.7181095323356731,2.681440740405951
