maneuver,agent,episode,success,collided,return,steps,survival_time_s,creep_zone_mean_speed,high_speed_zone_rate,creep_speed_rate,min_ttc,min_conflict_ttc,safety_shield,safety_intervention_rate,safety_emergency_brake_rate,safety_violation_rate,safety_min_h
straight,final_balanced_safety_ellipse_straight,0,True,False,218.1121844451694,81,16.2,4.205575923957796,0.019230769230769232,0.9807692307692307,0.6447264541171727,2.639678318125447,True,0.0,0.0,0.0,0.5716000497334872
straight,final_balanced_safety_ellipse_straight,1,True,False,214.8760067959131,78,15.6,4.3367056415997,0.0392156862745098,0.9607843137254902,0.6397299827173413,2.721946343293837,True,0.0,0.0,0.0,0.38097717806430076
straight,final_balanced_safety_ellipse_straight,2,True,False,203.64574837984082,90,18.0,3.5603794971506924,0.016129032258064516,0.8709677419354839,0.600066454213517,2.3272050992452673,True,0.08888888888888889,0.03333333333333333,0.07777777777777778,-7.132164515871669
straight,final_balanced_safety_ellipse_straight,3,False,True,3.04451661480239,46,9.2,4.162440510997643,0.25,0.7222222222222222,0.6592365636789226,0.726530660465199,True,0.21739130434782608,0.06521739130434782,0.06521739130434782,-1.9987824915283339
straight,final_balanced_safety_ellipse_straight,4,True,False,219.27492106556673,93,18.6,3.70686109730593,0.0,0.9833333333333333,0.6151455803805276,1.3688317818475493,True,0.17204301075268819,0.043010752688172046,0.010752688172043012,-0.5599488525954541
straight,final_balanced_safety_ellipse_straight,5,True,False,224.11219024560017,84,16.8,4.109669508691157,0.0,1.0,0.5985451642639713,2.2984980137875857,True,0.0,0.0,0.0,0.4028872823155405
straight,final_balanced_safety_ellipse_straight,6,True,False,215.98703146456234,74,14.8,4.683013478986757,0.13043478260869565,0.8478260869565217,0.654488435342331,1.9704394093144726,True,0.05405405405405406,0.0,0.0,0.35008100874845116
straight,final_balanced_safety_ellipse_straight,7,True,False,221.2555334858189,77,15.4,4.518692626332571,0.0,1.0,0.5637515410479145,3.8226206032173065,True,0.0,0.0,0.0,0.5738411283938794
straight,final_balanced_safety_ellipse_straight,8,False,False,-50.3305008710217,111,22.2,0.9149009766056245,0.0,0.2826086956521739,0.5797503666830476,2.5275421057647134,True,0.6396396396396397,0.05405405405405406,0.38738738738738737,-7.1653004664370075
straight,final_balanced_safety_ellipse_straight,9,False,False,-87.9482421467595,111,22.2,0.7373101497238306,0.0,0.26881720430107525,1.7089834474001317,3.7082306671424234,True,0.5585585585585585,0.21621621621621623,0.1891891891891892,-5.107662923521557
